uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"7666974f-150f-4daa-8db1-ed9de0a226bd","2021-01-06","BLAN_063.basePlot.ltr","D02","BLAN","BLAN_063","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN063.20201109.LVS","NEON.LTR.BLAN063.20201109.LVS.CN","A00000162718","vegetation","N",-1.7,-29.8,1.52,49.40,32.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"11527ece-ddb8-455a-ab87-8dadc280f6bd","2021-01-06","BLAN_047.basePlot.ltr","D02","BLAN","BLAN_047","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN047.20201109.LVS","NEON.LTR.BLAN047.20201109.LVS.CN","A00000162697","vegetation","N",-1.0,-29.8,1.69,49.43,29.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"804a1dff-30ac-4308-8a46-602d3a25638d","2021-01-06","BLAN_053.basePlot.ltr","D02","BLAN","BLAN_053","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN053.20201109.LVS","NEON.LTR.BLAN053.20201109.LVS.CN","A00000162709","vegetation","N",-1.8,-30.3,1.16,46.95,40.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"24837284-db33-4fd6-8f39-272841300548","2021-01-06","BLAN_052.basePlot.ltr","D02","BLAN","BLAN_052","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN052.20201109.LVS","NEON.LTR.BLAN052.20201109.LVS.CN","A00000162706","vegetation","N",-1.2,-30.1,1.12,45.91,41.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"62cb48ec-1ae1-491a-8b55-0c6846300f81","2021-01-06","BLAN_057.basePlot.ltr","D02","BLAN","BLAN_057","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN057.20201109.LVS","NEON.LTR.BLAN057.20201109.LVS.CN","A00000162715","vegetation","N",-1.8,-29.6,1.18,47.32,40.2,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"a977e5ce-6d8e-4cee-9ce5-d627d78ba165","2021-01-06","BLAN_048.basePlot.ltr","D02","BLAN","BLAN_048","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN048.20201109.LVS","NEON.LTR.BLAN048.20201109.LVS.CN","A00000162703","vegetation","N",-2.3,-29.8,1.33,50.07,37.6,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"712c0403-3c80-49aa-9e61-04d52a4a8c66","2021-01-06","BLAN_050.basePlot.ltr","D02","BLAN","BLAN_050","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN050.20201109.LVS","NEON.LTR.BLAN050.20201109.LVS.CN","A00000162688","vegetation","N",-0.3,-30.1,1.08,46.33,42.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9c47a76a-ed76-4dff-928c-65eb223add92","2021-01-06","BLAN_044.basePlot.ltr","D02","BLAN","BLAN_044","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN044.20201109.LVS","NEON.LTR.BLAN044.20201109.LVS.CN","A00000162691","vegetation","N",-0.7,-29.9,1.17,47.83,40.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"2cf94c22-e15f-43b7-b1f0-b3ddf2de7177","2021-01-06","BLAN_055.basePlot.ltr","D02","BLAN","BLAN_055","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN055.20201109.LVS","NEON.LTR.BLAN055.20201109.LVS.CN","A00000162685","vegetation","N",-2.6,-29.9,1.18,48.02,40.9,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"11e3e81e-6599-46b0-a8ce-d2e4fdcf1f05","2021-01-06","BLAN_036.basePlot.ltr","D02","BLAN","BLAN_036","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN036.20201109.LVS","NEON.LTR.BLAN036.20201109.LVS.CN","A00000162694","vegetation","N",-2.2,-28.0,1.38,45.56,33.0,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"4efee5ea-0db6-4ad0-b3d9-c069c4eb5f3c","2021-01-06","BLAN_035.basePlot.ltr","D02","BLAN","BLAN_035","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN035.20201109.LVS","NEON.LTR.BLAN035.20201109.LVS.CN","A00000162700","vegetation","N",-1.7,-29.9,1.40,47.09,33.5,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"89cfadd8-b842-4530-b8e6-f058c9731657","2021-01-06","BLAN_063.basePlot.ltr","D02","BLAN","BLAN_063","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN063.20201109.LVS","NEON.LTR.BLAN063.20201109.LVS.CN","A00000162718","vegetation","N",-1.7,-29.8,1.55,49.37,31.8,"OK","OK","OK","OK",2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"156cb60f-1f08-4341-8863-ada071a5f7fd","2021-01-06","BLAN_032.basePlot.ltr","D02","BLAN","BLAN_032","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN032.20201109.LVS","NEON.LTR.BLAN032.20201109.LVS.CN","A00000162712","vegetation","N",-1.7,-30.2,1.22,47.23,38.7,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"b9dbe9ac-782f-4315-a0f3-fe341e5e4839","2021-01-06","BLAN_035.basePlot.ltr","D02","BLAN","BLAN_035","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN035.20201109.NDL","NEON.LTR.BLAN035.20201109.NDL.CN","A00000162721","vegetation","N",-1.2,-27.4,1.34,52.60,39.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"94a74e89-1b4b-4b54-81a8-c9e77292a520","2021-01-06","BLAN_063.basePlot.ltr","D02","BLAN","BLAN_063","tower","2020-10-26T16:00Z","2020-11-09T17:00Z","NEON.LTR.BLAN063.20201109.NDL","NEON.LTR.BLAN063.20201109.NDL.CN","A00000162722","vegetation","N",-1.5,-28.2,0.77,54.38,70.4,"OK","OK","OK","OK",1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%","Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface","rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
