site_id,horizon,site_horizon_incubation_fraction,contributing_horizons,cores_contributing_to_horizon_composite,incubation_site,SOMMOS_horizon,horizon_type,OSU_g,VT_g,USFS_g,UCB_g,ws_mass_airdry_g,fine_mass_g,coarse_mass_g,roots_fine_g,mass_remaining_lost_g,horizon_order,total_thickness_cm,proportional_thickness_cm,proportional_top_depth_cm,proportional_bottom_depth_cm,proportional_midpoint_depth_cm,ws_bulk_density_gcm3,proportion_fine_mass_gg,mass_fine_Mgha,mass_coarse_Mgha,notes
OSBS,A,OSBS_A_PRE_BULK,1-6:A,6,Y,Y,A-Horizon,90.9,129,107.2,10.7,349.7,348.3,1.4,NA,10.5,1,21.75,21.75,0,21.75,10.875,1.39,0.9959965684872749,3011.146625679153,12.103374320846118,NA
OSBS,AE,OSBS_AE_PRE_BULK,4:AE,1,Y,N,none,5,5,14,1.4,27,26.9,0.10000000000000009,NA,1.5,2,25,4.166666666666666,21.75,25.916666666666664,23.833333333333332,1.5418512509735804,0.9962962962962962,640.0586211603287,2.3794000786629717,NA
OSBS,A/B,OSBS_A/B_PRE_BULK,"1,3:AB",2,Y,N,none,96.1,95.2,95,96.9,395.2,394,1.2000000000000002,NA,10.799999999999955,3,39.25,13.083333333333332,25.916666666666664,39,32.45833333333333,1.6177768764603706,0.9969635627530364,2110.1645163648277,6.426897004156837,NA
OSBS,Bh,OSBS_Bh_PRE_BULK,4:Bh,1,Y,N,none,14.7,6.7,40.4,1.1000000000000001,64.7,64.2,0.5,NA,1.3000000000000043,4,7,1.1666666666666665,39,40.166666666666664,39.58333333333333,1.6557396892037657,0.9922720247295209,191.67682028031228,1.4928101267936988,NA
OSBS,Bw1,OSBS_Bw1_PRE_BULK,1-6:Bw1,6,Y,Y,Upper B-Horizon,231.3,233.8,231.2,234.2,1878.2,1873.9,4.3,NA,943.4000000000001,5,25,25,40.166666666666664,65.16666666666666,52.66666666666666,1.54,0.9977105739537856,3841.1857097220745,8.814290277925457,Extra material kept at OSU
OSBS,Bw2,OSBS_Bw2_PRE_BULK,1-6:Bw2,6,Y,N,none,217.2,217.7,214.9,214.9,3501.2000000000003,3499.9,1.2999999999999998,NA,2635.2000000000003,6,19.916666666666668,19.916666666666668,65.16666666666666,85.08333333333333,75.125,1.58,0.9996286987318633,3145.664910126052,1.1684232072814116,Extra material kept at OSU
OSBS,Bw3,OSBS_Bw3_PRE_BULK,1-6:Bw3,6,Y,Y,Lower B-Horizon,210.5,211.1,207.8,209.2,3365.9,3364.9,1,NA,2526.3,7,32,32,85.08333333333333,117.08333333333333,101.08333333333333,2.02,0.9997029026411955,6462.079562672688,1.9204373273119941,Extra material kept at OSU
DSNY,A,DSNY_A_PRE_BULK,1-5:A,5,Y,Y,A-Horizon,149.1,222.4,206.1,10.6,637.4,599.6,37.8,NA,11.399999999999977,1,11.9,11.9,0,11.9,5.95,1.355464252673468,0.9406965798556637,1517.345898061788,95.65656261963899,Extra material kept at OSU
DSNY,EA,DSNY_EA_PRE_BULK,2:EA,1,Y,N,none,53.8,15.7,98,2,170.20000000000002,169.3,0.8999999999999999,NA,-0.19999999999998863,2,12.5,2.5,11.9,14.4,13.15,1.7240720144110304,0.9947121034077555,428.7388249703106,2.2791786324470453,NA
DSNY,E,DSNY_E_PRE_BULK,1-5:E,5,Y,N,none,323.5,319.7,325.2,326.7,1300,1296.9,3.0999999999999996,NA,1.7999999999999545,3,17.5,17.5,14.4,31.9,23.15,1.811440054083885,0.9976153846153847,3162.4608159595646,7.559278687234465,NA
DSNY,EB,DSNY_EB_PRE_BULK,1:EB,1,Y,N,none,41,30.9,61.7,10,156,147.1,8.9,NA,3.4999999999999716,4,11,2.2,31.9,34.1,33,1.8050858127902696,0.9429487179487179,374.46273765076097,22.656141163098393,NA
DSNY,Bh1,DSNY_Bh1_PRE_BULK,1-5:Bh1,5,Y,Y,Upper B-Horizon,102.2,329.7,100.8,10,546.1,544.2,1.9,NA,1.5000000000001137,5,7.8,7.8,34.1,41.9,38,1.888597522103676,0.9965207837392419,1467.9808126579014,5.125254582965824,NA
DSNY,Bh2,DSNY_Bh2_PRE_BULK,2-5:Bh2,4,Y,Y,Lower B-Horizon,272.2,273.89999999999998,271.10000000000002,276.5,1098.9,1095.9,3,NA,2.200000000000273,6,18.625,14.9,41.9,56.8,49.349999999999994,1.8875370075388027,0.9972699972699973,2804.7521992693087,7.677941963507406,NA
DSNY,E'1,DSNY_E'1_PRE_BULK,1-5:E'1,5,Y,N,none,346.4,347.1,345.5,343.7,5758,5753.8,4.2,NA,4371.1,7,69.2,69.2,56.8,126,91.4,1.9328648754446607,0.9992705800625218,13365.668636454975,9.756301622076723,Extra material kept at OSU
DSNY,E'2,DSNY_E'2_PRE_BULK,3:E'2,1,Y,N,none,177.2,200.4,155.19999999999999,175.4,717.9,709.3,8.6,NA,1.1000000000000227,8,42.5,8.5,126,134.5,130.25,1.9684023225652647,0.9880206156846357,1653.0987634576,20.043210722875195,NA
DSNY,B'h,DSNY_B'h_PRE_BULK,2-5:B'h,4,Y,N,none,301.2,300.89999999999998,301.89999999999998,297.39999999999998,1289.3,1203.7,85.6,NA,2.300000000000182,9,20.625,16.5,134.5,151,142.75,2.1098921932888395,0.9336073838517025,3250.188035796115,231.13408313047046,NA
CPER,A1,CPER_A1_PRE_BULK,1-5:A1,5,Y,Y,A-Horizon,108.7,168,107.6,10,566.6,388,178.6,NA,-6.2999999999999545,1,12,12,0,12,6,1.4391726491706105,0.6847864454641722,1182.631107401758,544.3760716029744,NA
CPER,A2,CPER_A2_PRE_BULK,5:A2,1,Y,N,none,105.7,17.100000000000001,119,10,252.3,252.3,0,NA,0.5,2,20.5,4.1,12,16.1,14.05,1.512350565012012,1,620.0637316549248,0,NA
CPER,AB,CPER_AB_PRE_BULK,1-4:AB,4,Y,N,none,171.4,29.8,189,10,951.5999999999999,403.3,548.3,NA,3.099999999999966,3,23.875,19.1,16.1,35.2,25.650000000000002,1.2803436396360288,0.4238125262715427,1036.415034302808,1409.0413174020075,NA
CPER,Bw1,CPER_Bw1_PRE_BULK,3-5:Bw1,4,Y,Y,Upper B-Horizon,183.9,594.5,210.6,10,1556.9,1008.7,548.2,NA,9.700000000000045,4,36.833333333333336,29.46666666666667,35.2,64.66666666666667,49.93333333333334,1.3721535697177398,0.6478900378958186,2619.600304674818,1423.6788807601224,NA
CPER,Bw2,CPER_Bw2_PRE_BULK,"1,5:Bw2",2,Y,N,none,215.8,48.5,248.6,10,1224.9,529.2,695.7,NA,6.300000000000068,5,41.25,16.5,64.66666666666667,81.16666666666667,72.91666666666667,1.7617792434244122,0.432035268185158,1255.8987670612526,1651.0369845890275,NA
CPER,Bk1,CPER_Bk1_PRE_BULK,3-5:Bk1,3,Y,N,none,484.1,104.2,539.9,10,2146.5,1148.2,998.3,NA,10,6,51.333333333333336,30.8,81.16666666666667,111.96666666666667,96.56666666666666,1.6789888927756162,0.5349173072443513,2766.210269643459,2405.0755201054394,NA
CPER,Bk2,CPER_Bk2_PRE_BULK,5:Bk2,1,Y,N,none,124,30,139.80000000000001,2.1,307.6,297.3,10.3,NA,1.3999999999999773,7,18.5,3.7,111.96666666666667,115.66666666666667,113.81666666666666,2.006961686674343,0.9665149544863458,717.7106388032004,24.86518526630669,NA
CPER,Btk1,CPER_Btk1_PRE_BULK,2-3:Btk1,2,Y,N,none,93.2,18.600000000000001,104.4,3.5,862.5,223.1,639.4,NA,3.3999999999999773,8,33.25,13.3,115.66666666666667,128.96666666666667,122.31666666666666,1.5637193766411324,0.25866666666666666,537.9611647479267,1541.78560618478,NA
CPER,Btk2,CPER_Btk2_PRE_BULK,2:Btk2,1,Y,N,none,52.2,8.5,86.7,2.7,237.5,150.6,86.9,NA,0.5,9,28,5.6,128.96666666666667,134.56666666666666,131.76666666666665,1.1007589642883067,0.6341052631578947,390.87834952513106,225.54667047632063,NA
CPER,Btk3,CPER_Btk3_PRE_BULK,2:Btk3,1,Y,Y,Lower B-Horizon,181.8,89.4,242.5,2.1,581,516.4,64.6,NA,-0.599999999999909,10,56.5,11.3,134.56666666666666,145.86666666666667,140.21666666666667,1.2747656062971717,0.8888123924268502,1280.3210391975924,160.16409591821176,NA
CPER,Bg1,CPER_Bg1_PRE_BULK,1:Bg1,1,Y,N,none,115.8,58.1,156.19999999999999,2.6,384.8,333.2,51.6,NA,0.49999999999994316,11,29.5,5.9,145.86666666666667,151.76666666666668,148.81666666666666,1.6413824168477291,0.8659043659043658,838.555318511594,129.86030742856627,NA
CPER,Bg2,CPER_Bg2_PRE_BULK,1:Bg2,1,Y,N,none,70.2,12.8,89.9,7.8,197.79999999999998,181.1,16.7,NA,0.39999999999997726,12,22,4.4,151.76666666666668,156.16666666666669,153.9666666666667,1.4401207694505387,0.9155712841253792,580.1546177598419,53.49852079839509,NA
CPER,Bg3,CPER_Bg3_PRE_BULK,1:Bg3,1,Y,N,none,70.5,10.4,115.2,2.2999999999999998,227.2,202.1,25.1,NA,3.69999999999996,13,23.5,4.7,156.16666666666669,160.86666666666667,158.51666666666668,1.487344758425162,0.889524647887324,621.8240165868438,77.22801987298251,NA
RMNP,A1,RMNP_A1_PRE_BULK,1-6:A1,6,Y,Y,A-Horizon,74,274.39999999999998,125.8,1,668.4000000000001,476.1,192.3,NA,0.9000000000000341,1,9.333333333333334,9.333333333333334,0,9.333333333333334,4.666666666666667,1.3933485678889896,0.7122980251346498,926.314137682752,374.1445256803052,"We had 6 cores from this site, all six contributed to the composite horizons"
RMNP,A2,RMNP_A2_PRE_BULK,5:A2,1,Y,N,none,64.599999999999994,11,105,1,294.6,181.6,113,NA,0,2,24,4,9.333333333333334,13.333333333333334,11.333333333333334,1.4631604651682493,0.6164290563475899,360.7738499315059,224.49033613579385,NA
RMNP,AB,RMNP_AB_PRE_BULK,3:AB,1,Y,N,none,37.799999999999997,13.5,48.3,2.1,134.6,101.7,32.9,NA,0,3,9.5,1.5833333333333333,13.333333333333334,14.916666666666668,14.125,1.8207367362147546,0.7555720653789005,217.81882091306156,70.46449565427454,NA
RMNP,Bt,RMNP_Bt_PRE_BULK,1-6:Bt,6,Y,Y,Upper B-Horizon,110.5,815,188.7,2.2999999999999998,1560.5,1117.6,442.9,NA,1.099999999999909,5,17.666666666666668,17.666666666666668,14.916666666666668,32.583333333333336,23.75,1.7709915855513347,0.7161807113104773,2240.7516904548775,888.000110685814,NA
RMNP,Bw,RMNP_Bw_PRE_BULK,2:Bw,1,Y,N,none,69.099999999999994,11.1,116.3,3,396.6,199.7,196.9,NA,0.19999999999998863,4,13,2.1666666666666665,32.583333333333336,34.75,33.66666666666667,1.8225174009493088,0.5035300050428643,198.83330915298788,196.04546105269566,NA
RMNP,B/C,RMNP_B/C_PRE_BULK,"1,2,4:B/C; 2,3,4:C/B",6,Y,Y,Lower B-Horizon,406.3,274.89999999999998,447.2,37,2972.2,1168.1,1804.1,NA,2.699999999999818,6,33.8,33.8,34.75,68.55,51.65,1.8758238810818373,0.39300854585828676,2491.786077370946,3848.4986406856633,Originally this was two different composited horizons consisteng of B/C (3) and C/B (3) but they were too similar I could not justify seperating them in the final split.
RMNP,Cr,RMNP_Cr_PRE_BULK,"1,3,5,6:Cr",4,Y,N,none,199.5,198.9,206.2,202,2556.5,805.1,1751.4,NA,-1.4999999999998863,7,28.2,18.8,68.55,87.35,77.94999999999999,1.2445178093269718,0.3149227459417172,736.8226958668464,1602.8707856678607,NA
BLAN,Ap1,BLAN_Ap1_PRE_BULK,1-5:Ap1,5,Y,Y,A-Horizon,174.2,272.5,172.5,10.1,946.4,629.9,316.5,NA,0.599999999999909,1,16.3,16.3,0,16.3,8.15,1.096171073328703,0.665574809805579,1189.2216814415601,597.5371680842258,NA
BLAN,Ap2,BLAN_Ap2_PRE_BULK,"1-3,5:Ap2",4,Y,N,none,210.9,59.1,256.5,19.399999999999999,981.1,545.7,435.4,NA,-0.1999999999999318,2,17.625,14.1,16.3,30.4,23.35,1.6142137715057239,0.5562124146366324,1265.9624928203546,1010.078925002716,NA
BLAN,AB,BLAN_AB_PRE_BULK,4:AB,1,Y,N,none,82,23.2,100,7,336.9,211.9,125,NA,-0.29999999999998295,3,24,4.8,30.4,35.199999999999996,32.8,0.8605421512190611,0.6289700207776789,259.80250307151425,153.25772951363504,NA
BLAN,Bt1,BLAN_Bt1_PRE_BULK,1-5:Bt1,5,Y,Y,Upper B-Horizon,243.7,782.7,245.5,42.5,2719.4,1321.2,1398.2,NA,6.7999999999999545,4,36.6,36.6,35.199999999999996,71.8,53.5,1.596117877043305,0.48584246524968744,2838.1903498152496,3003.6010801632474,NA
BLAN,Bt2,BLAN_Bt2_PRE_BULK,1-5:Bt2,5,Y,N,none,183.1,27.2,202.5,7.5,3142.7,431,2711.7,NA,10.700000000000045,5,46.1,46.1,71.8,117.9,94.85,1.2006644512437687,0.13714322079740351,759.0963836257857,4775.966736607988,NA
BLAN,Bt3,BLAN_Bt3_PRE_BULK,2-5:Bt3,4,Y,Y,Lower B-Horizon,433.9,110,512.4,33,1853.1999999999998,1095.8,757.4,NA,6.5,6,25.833333333333332,20.666666666666664,117.9,138.56666666666666,128.23333333333335,1.3901989565520898,0.5913015324843515,1698.8553318326203,1174.222511708365,NA
BLAN,Bt4,BLAN_Bt4_PRE_BULK,5:Bt4,1,Y,N,none,227.3,63.5,279.7,22.1,752.1999999999999,593.8,158.4,NA,1.1999999999999318,7,62,12.4,138.56666666666666,150.96666666666667,144.76666666666665,1.441521014966851,0.789417708056368,1411.0731475302741,376.4129110286213,NA
BLAN,2C1,BLAN_2C1_PRE_BULK,1:C1,1,Y,N,none,132.30000000000001,25.3,148.5,9.9,423.20000000000005,315.1,108.1,NA,-0.8999999999999773,8,32,6.4,150.96666666666667,157.36666666666667,154.16666666666669,1.492843073381612,0.7445652173913043,711.372177576629,244.0473893876027,"Dec2018 - Horizon should be ""C1 and C2"", not ""2C1, 2C2"". NOT a 2nd parent material.... fuck me."
BLAN,2C2,BLAN_2C2_PRE_BULK,1:C2,1,Y,N,none,214.9,63.6,277.8,21.8,754.1,590.7,163.4,NA,-12.600000000000136,9,61,12.2,157.36666666666667,169.56666666666666,163.46666666666667,1.4447472193650022,0.7833178623524731,1380.669490285461,381.92211733984146,"Dec2018 - Horizon should be ""C1 and C2"", not ""2C1, 2C2"". NOT a 2nd parent material.... fuck me."
SCBI,A,SCBI_A_PRE_BULK,1-5:A,5,N,Y,A-Horizon,135.4,80.3,414.5,21.4,242.5,695.9,307.8,NA,44.299999999999955,1,7.8,7.8,0,7.8,3.9,0.7892575992746023,0.6933346617515194,426.8313274897406,188.78959994444915,"(25May2017 Changed status to non-incubation)  Original <2mm=56g, >2mm=186g. Received extra material (761.2g) via grab bag sampling."
SCBI,BA,SCBI_BA_PRE_BULK,"1,2,5:BA",3,N,N,none,63.4,28.9,240.9,24.9,350.7,370.7,373.1,NA,12.600000000000023,2,9.666666666666666,5.8,7.8,13.6,10.7,1.377795096757554,0.4983866630814735,398.2713263961477,400.8498297232337,"(25May2017 Changed status to non-incubation) Original <2mm=35g, >2mm=315g. Received extra material (393.1g) via grab bag sampling."
SCBI,Bt1,SCBI_Bt1_PRE_BULK,1-5:Bt1,5,N,Y,Upper B-Horizon,411.1,182.5,476.5,27.9,1947,1112.2,2487.7,NA,14.200000000000045,3,22.166666666666668,22.166666666666668,13.6,35.766666666666666,24.683333333333334,1.7447240919844942,0.30895302647295764,1194.867098016545,2672.6046392157505,"(25May2017 Changed status to non-incubation) Original <2mm=208.3g, >2mm=1738.7g. Received extra material (1653.4g) via grab bag sampling."
SCBI,Bt2,SCBI_Bt2_PRE_BULK,"1,2,5:Bt2",3,N,Y,Lower B-Horizon,103.2,37,375.5,30.5,1248.3,563.2,1276.5,NA,17,4,29.5,17.7,35.766666666666666,53.46666666666667,44.61666666666667,1.5468287007587194,0.30613687014187096,838.1680958597271,1899.718704483206,"(25May2017 Changed status to non-incubation) Original <2mm=177.8g, >2mm=1070.5g. Received extra material (591.4g) via grab bag sampling."
SCBI,Bt3,SCBI_Bt3_PRE_BULK,"1,5:Bt3",2,N,N,none,89.9,29.5,176.5,26.6,1824.5,338.9,1485.6,NA,16.399999999999977,5,66,26.4,53.46666666666667,79.86666666666667,66.66666666666667,1.5300949212776784,0.18574952041655246,750.3260102425069,3289.1245819305636,(25May2017 Changed status to non-incubation)  Need to combine collected material
SCBI,C/B,SCBI_C/B_PRE_BULK,3:C/B,1,N,N,none,-,-,-,-,1369.7,166.4,1203.3,NA,166.4,9,83,16.6,79.86666666666667,96.46666666666667,88.16666666666667,1.7880522927532938,0.12148645688836972,360.5920687110213,2607.574737259447,"(25May2017 Changed status to non-incubation)  Not enough sample to split, will not ship to collaborators"
SCBI,BC1,SCBI_BC1_PRE_BULK,"1,2,4,5:BC1",4,N,N,none,165.7,220,164.8,37.200000000000003,2734.7,598.1,2136.6,NA,10.399999999999977,6,42.875,34.3,96.46666666666667,130.76666666666665,113.61666666666666,1.5524737629878782,0.2187077193110762,1164.6153262572352,4160.3696807911865,(25May2017 Changed status to non-incubation)  Need to combine collected material
SCBI,BC2,SCBI_BC2_PRE_BULK,2:BC2,1,N,N,none,-,-,-,-,700.2,138.3,561.9,NA,138.3,7,43.5,8.7,130.76666666666665,139.46666666666664,135.11666666666665,1.7081715908283763,0.19751499571550984,293.52886886612544,1192.580415154562,"(25May2017 Changed status to non-incubation)  Not enough sample to split, will not ship to collaborators"
SCBI,CB,SCBI_CB_PRE_BULK,4:CB,1,N,N,none,-,-,-,-,997.5,272.9,724.6,NA,272.9,8,61,12.2,139.46666666666664,151.66666666666663,145.56666666666663,1.8426595538527675,0.2735839598997494,615.0289589379776,1633.0156967623984,"(25May2017 Changed status to non-incubation)  Not enough sample to split, will not ship to collaborators"
SCBI,2Bt,SCBI_2Bt_PRE_BULK,3:2Bt,1,N,N,none,-,-,-,-,469.09999999999997,53.4,415.7,NA,-53.4,10,31,6.2,151.66666666666663,157.86666666666662,154.76666666666662,1.7742363670358912,0.11383500319761246,125.2215255592076,974.805022003045,"(25May2017 Changed status to non-incubation)  Not enough sample to split, will not ship to collaborators"
DCFS,Oi,DCFS_Oi_PRE_BULK,"1,3:Oi",2,Y,N,none,-,-,-,-,1,1,0,0,1,1,3.5,1.4,0,1.4,0.7,NA,1,NA,NA,Material kept at OSU
DCFS,A1,DCFS_A1_PRE_BULK,1-5:A1,5,Y,Y,A-Horizon,174.9,236.1,195.4,19.010000000000002,896.4,657.2,239.19999999999993,14.02,31.790000000000077,2,16.5,16.5,1.4,17.9,9.649999999999999,1.0555068265769714,0.7218646339052306,1257.1895307699044,484.3967330820985,NA
DCFS,A2,DCFS_A2_PRE_BULK,1-3:A2,3,Y,N,none,183.6,30.3,205.2,19.37,612.8,442,170.79999999999995,0.65,3.5299999999999727,3,14.166666666666666,8.5,17.9,26.4,22.15,1.4954797473061172,0.7205151194066347,915.8884033954002,355.2693818147993,NA
DCFS,B/A,DCFS_B/A_PRE_BULK,"4,5:B/A",2,Y,N,none,171,26.9,192.6,19.36,613.3,412.6,200.69999999999993,0.28,2.740000000000009,4,20,8,26.4,34.4,30.4,1.6737704958107846,0.6724469506828776,900.4174928407442,438.59890380788346,NA
DCFS,Bw1,DCFS_Bw1_PRE_BULK,1-3:Bw1,3,Y,Y,Upper B-Horizon,136.1,389.6,151.4,15.21,1192.8,695.6,497.19999999999993,0.3,3.2899999999999636,5,25.666666666666668,15.4,34.4,49.8,42.099999999999994,1.5830682091014705,0.5830190260665494,1421.3566836195741,1016.5683583966904,NA
DCFS,Bw2,DCFS_Bw2_PRE_BULK,3:Bw2,1,Y,N,none,63.6,10.199999999999999,72.900000000000006,7.21,200.8,155.9,44.900000000000006,0.05,1.990000000000009,6,14,2.8,49.8,52.599999999999994,51.199999999999996,1.6495097807150658,0.776201145133184,358.49838659583793,103.36435200438048,NA
DCFS,Bk1,DCFS_Bk1_PRE_BULK,"1,2,4,5:Bk1",4,Y,N,none,401.3,65,450.7,43.27,1722.8,965.3,757.5,0.53,5.029999999999973,7,26.75,21.4,52.599999999999994,74,63.3,1.6821501645399328,0.5601364799545067,2016.380057909425,1583.421294206031,NA
DCFS,Bk2,DCFS_Bk2_PRE_BULK,"1,2,4.5:Bk2",4,Y,Y,Lower B-Horizon,275.39999999999998,411.6,308.39999999999998,30.25,2331.7,1222.8,1108.8999999999999,0.25,197.14999999999986,8,33.75,27,74,101,87.5,1.846621800161215,0.524368018182208,2614.4354169430135,2371.4434434922664,NA
WOOD,Apk,WOOD_Apk_PRE_BULK,1-5:Apk,5,Y,Y,A-Horizon,275.39999999999998,411.6,308.39999999999998,30.25,1377.3,1033.5,343.79999999999995,9.24,7.849999999999909,1,17.6,17.6,0,17.6,8.8,1.8864781439419134,0.7453805876498334,2474.8137700351836,845.3877633025845,NA
WOOD,AB,WOOD_AB_PRE_BULK,4:AB,1,Y,N,none,41.6,6.4,69.099999999999994,1.67,139.04,119.74,19.299999999999997,1,-0.9699999999999989,2,7.5,1.5,17.6,19.1,18.35,2.332367750982513,0.8550414167380749,299.14065392314285,50.71450872423415,NA
WOOD,Bk1,WOOD_Bk1_PRE_BULK,"1,3-5:Bk1",4,Y,Y,Upper B-Horizon,166.7,488.1,191.4,19.14,1000.8,869.4,131.39999999999998,0.75,4.060000000000059,3,18.833333333333332,15.066666666666666,19.1,34.16666666666667,26.633333333333336,2.396583411181107,0.8680545155009735,3134.416678121399,476.43566139146884,NA
WOOD,Bk2,WOOD_Bk2_PRE_BULK,5:Bk2,1,Y,N,none,146.19999999999999,24.2,164.7,16.21,453.6,353.4,100.20000000000005,0.09,2.090000000000032,4,31,6.2,34.16666666666667,40.366666666666674,37.26666666666667,1.6254228811356874,0.7789459763274482,784.9923001165513,222.76988618757488,NA
WOOD,2Ck,WOOD_2Ck_PRE_BULK,1-5:2Ck,5,Y,Y,Lower B-Horizon,290,828.6,326.8,31.91,2027,1483,544,0.43,5.690000000000055,5,20.6,20.6,40.366666666666674,60.966666666666676,50.66666666666667,1.7406182196428053,0.7314679175113321,2622.805151667075,962.8683807971041,NA
NGPR,A,NGPR_A_PRE_BULK,1-5:A,5,Y,Y,A-Horizon,316.3,478.6,356.1,31.39,1526.2,1189.4,336.79999999999995,5.87,7.009999999999991,1,25.7,25.7,0,25.7,12.85,1.3616484965561124,0.7763352849412887,2716.736138058881,782.700498090328,NA
NGPR,Bt1,NGPR_Bt1_PRE_BULK,1-5:Bt1,5,Y,Y,Upper B-Horizon,286.60000000000002,818.9,320.10000000000002,32.81,1895.1,1463.5,431.5999999999999,0.53,5.0900000000001455,2,25.5,25.5,25.7,51.2,38.45,1.7151732820249599,0.7720388472433967,3376.6600288669197,997.0318402967283,NA
NGPR,Bt2,NGPR_Bt2_PRE_BULK,2:Bt2,1,Y,N,none,114.8,20.2,127.4,9.57,361.2,173.91,187.29,0.11,-98.05999999999997,3,27,5.4,51.2,56.6,53.900000000000006,1.5319711283190227,0.48133182032050037,398.18868401101287,429.0757252812594,NA
