site_name_full,site_id,NEON_site_id,state,latitude_dec_deg,longitude_dec_deg,incubation_site,probable_soil_order_via_NRCS,NEON_Link,NPP_05_14.kgCm2yr,MAT,MAP,MAP_Eref,RH
Abby Road,ABBY,ABBY,WA,45.76243,-122.33033,yes,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/ABBY,0.74279,9.4,2657,1859,67
Barrow,BARR,BARR,AK,71.28257842,-156.6187438,yes,Gelisol,https://www.neonscience.org/field-sites/field-sites-map/BARR,NA,-12.5,183,72,73
Bartlett Experimental forest,BART,BART,NH,44.06388,-71.28731,yes,Spodosol,https://www.neonscience.org/field-sites/field-sites-map/BART,0.75306,5.2,1262,545,57
Blandy Experimental Farm,BLAN,BLAN,VA,39.06026,-78.07164,yes,Alfisol,https://www.neonscience.org/field-sites/field-sites-map/BLAN,0.66948,12.2,954,-112,59
Caribou Poker,BONA,BONA,AK,65.15505361,-147.4909984,yes,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/BONA,NA,-1.8,415,15,60
LBJ/Caddo,CLBJ,CLBJ,TX,33.40123,-97.57,yes,Alfisol,https://www.neonscience.org/field-sites/field-sites-map/CLBJ,0.31468,17.7,870,-524,60
CPER,CPER,CPER,CO,40.815534,-104.745602,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/CPER,0.21792,8.2,348,-626,48
Dakota-Coteau,DCFS,DCFS,ND,47.161647,-99.106556,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/DCFS,0.46252,4.3,427,-303,54
Delta Junction,DEJU,DEJU,AK,63.88112,-145.75136,no,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/DEJU,NA,-3.1,443,69,56
Dead Lake,DELA,DELA,AL,32.54172,-87.80389,yes,Ultisol,https://www.neonscience.org/field-sites/field-sites-map/DELA,0.49641,17.3,1403,25,60
Disney,DSNY,DSNY,FL,28.12504,-81.4362,yes,Spodosol,https://www.neonscience.org/field-sites/field-sites-map/DSNY,0.60206,22.2,1282,-269,65
Great Smokey Mtn Nationa Park,GRSM,GRSM,TN,35.68896,-83.50195,yes,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/GRSM,0.57614,12.1,1471,307,56
Harvard Forest,HARV,HARV,MA,42.5369,-72.17266,no,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/HARV,0.73066,7.2,1113,350,60
Healy,HEAL,HEAL,AK,63.87569,-149.21334,yes,Gelisol,https://www.neonscience.org/field-sites/field-sites-map/HEAL,NA,-2.4,460,108,58
Jornada,JORN,JORN,NM,32.59068,-106.84254,yes,Aridisol,https://www.neonscience.org/field-sites/field-sites-map/JORN,0.1166,15.3,266,-1270,47
Konza Agriculture,KONA,KONA,KS,39.11044,-96.61295,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/KONZ,0.36308,12.5,854,-181,58
Konza Core,KONZ,KONZ,KS,39.10077,-96.56309,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/KONZ,0.37216,12.3,863,-157,59
Lenoir Landing,LENO,LENO,AL,31.85388,-88.16122,no,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/LENO,0.37759,18,1421,-41,58
Mountain Lake,MLBS,MLBS,VA,37.37828,-80.52484,yes,Entisol,https://www.neonscience.org/field-sites/field-sites-map/MLBS,0.83619,8.9,1174,309,62
Moab,MOAB,MOAB,UT,38.24833,-109.38827,yes,NA,https://www.neonscience.org/field-sites/field-sites-map/MOAB,0.14201,9.4,301,-755,50
NIWOT,NIWO,NIWO,CO,40.05425,-105.58237,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/NIWO,0.33262,0.1,866,339,54
Northern Great Plains Research Laboratory,NGPR,NOGP,ND,46.76972,-100.91535,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/NOGP,0.40695,5,406,-341,54
Klemme (OAES),OAES,OAES,OK,35.41059,-99.05879,no,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/OAES,0.29563,15.7,699,-642,56
Onaqui-Ault Steppe,ONAQ,ONAQ,UT,40.17759,-112.45244,no,Aridisol,https://www.neonscience.org/field-sites/field-sites-map/ONAQ,0.16974,8.8,278,-727,50
Oak Ridge,ORNL,ORNL,TN,35.96412,-84.2826,no,Ultisol,https://www.neonscience.org/field-sites/field-sites-map/ORNL,0.61689,13.9,1384,190,60
Ordway-Swisher,OSBS,OSBS,FL,29.68927,-81.99343,yes,Entisol,https://www.neonscience.org/field-sites/field-sites-map/OSBS,0.76119,20.5,1368,-192,60
Rocky Mtn National Park,RMNP,RMNP,CO,40.27591,-105.54592,yes,Inceptisol,https://www.neonscience.org/field-sites/field-sites-map/RMNP,0.47476,2.4,704,55,55
Smithsonian Conservation Biology Institute,SCBI,SCBI,VA,38.89292,-78.1395,no,Alfisol,https://www.neonscience.org/field-sites/field-sites-map/SCBI,0.71925,12,1015,-29,60
Smithsonian Environmental Research Center,SERC,SERC,MD,38.89008,-76.56001,yes,Ultisol,https://www.neonscience.org/field-sites/field-sites-map/SERC,0.69705,13.5,1076,34,65
San Juaquin,SJER,SJER,CA,37.10878,-119.73228,yes,Alfisol,https://www.neonscience.org/field-sites/field-sites-map/SJER,0.50223,16.1,469,-984,51
Soaproot Saddle,SOAP,SOAP,CA,37.03337,-119.26219,yes,Alfisol,https://www.neonscience.org/field-sites/field-sites-map/SOAP,0.45337,12.7,767,-408,57
Santa Rita,SRER,SRER,AZ,31.91068,-110.83549,no,Entisol,https://www.neonscience.org/field-sites/field-sites-map/SRER,0.12561,18.5,393,-1221,52
Steigerwalt,STEI,STEI,WI,45.508942,-89.586365,yes,Spodosol,https://www.neonscience.org/field-sites/field-sites-map/STEI,0.67098,4.7,806,104,57
Sterling,STER,STER,CO,40.461903,-103.029297,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/STER,0.2303,9.1,430,-561,50
Talladega,TALL,TALL,AL,32.95046,-87.39327,yes,Ultisol,https://www.neonscience.org/field-sites/field-sites-map/TALL,0.36682,16.9,1431,70,60
Toolik,TOOL,TOOL,AK,68.66109,-149.37047,no,NA,https://www.neonscience.org/field-sites/field-sites-map/TOOL,NA,-10.1,365,162,60
Treehaven,TREE,TREE,WI,45.493725,-89.585718,yes,Spodosol,https://www.neonscience.org/field-sites/field-sites-map/TREE,0.66697,4.7,807,105,57
UNDERC,UNDE,UNDE,MI,46.23388,-89.53725,yes,Spodosol,https://www.neonscience.org/field-sites/field-sites-map/UNDE,0.64727,4.3,815,130,57
Woodworth,WOOD,WOOD,ND,47.128228,-99.241356,yes,Mollisol,https://www.neonscience.org/field-sites/field-sites-map/WOOD,0.43021,4.3,420,-312,54
Wind River,WREF,WREF,WA,45.820488,-121.951912,yes,Andisol,https://www.neonscience.org/field-sites/field-sites-map/WREF,0.77334,8.9,2468,1630,64
